English,Lunda,Grammar_Notes,Noun_Class,Verb_Extensions,Agreement_Pattern
And with every living creature that is with you,kushilahu niyileñaleña yayumi yejima yidi nanenu,Biblical specification,Class 1 (mu-),,Subject agreement wu-
The birds the animals and all the living creatures of the earth with you,atuda anyama niyileñaleña yayumi yejima yahamaseki yidi nanenu,Biblical specification,Class 1 (mu-),,Subject agreement wu-
All those that came out of the ark,yejima yedikili muwatu,Biblical specification,Class 1 (mu-),,Subject agreement wu-
Every living creature of the earth,dikwila nawu yileñaleña yayumi yejima yahamaseki,Biblical specification,Class 1 (mu-),,Subject agreement wu-
Yes I establish my covenant with you,Diimu inakutiyañana chitiyañenu chami nanenu nami,Biblical statement,Class 1 (mu-),,Subject agreement wu-
Never again will all flesh be destroyed by the waters of a flood,Yuma yayumi yejima hiyamba kajilumuka cheñi namenji adibajiku,Biblical statement,Class 1 (mu-),,Subject agreement wu-
And never again will a flood bring the earth to ruin,nawa dibaji hidamba kajilumuna cheñi isekiku,Biblical statement,Class 1 (mu-),,Subject agreement wu-
And God added,Nawa Nzambi wabombelelihu nindi,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
This is the sign of the covenant that I am making between me and you,Ichi dichinjikijilu chachitiyañenu chinnakutiyañana hakachi kanami nanenu,Biblical statement,Class 1 (mu-),,Subject agreement wu-
And every living creature that is with you,ninayileñaleña yayumi yejima yidi nanenu,Biblical specification,Class 1 (mu-),,Subject agreement wu-
For all future generations,nikumakiñu ejima akumbidi,Biblical purpose,Class 1 (mu-),,Subject agreement wu-
I put my rainbow in the cloud,Nashi kansuluñunda kami mwivu,Biblical statement,Class 1 (mu-),,Subject agreement wu-
And it will serve as a sign of the covenant between me and the earth,nawa kakekala chinjikijilu chachitiyañenu hakachi kanami neseki,Biblical statement,Class 1 (mu-),,Subject agreement wu-
Whenever I bring a cloud over the earth,Mpinji yejima yinakaletaña ivu hewulu deseki,Biblical conditional,Class 1 (mu-),,Subject agreement wu-
Then the rainbow will certainly appear in the cloud,kansuluñunda nikena kakamwekanaña mwivu,Biblical statement,Class 1 (mu-),,Subject agreement wu-
And I will certainly remember my covenant that I made between me and you,Nawa nakanukaña chitiyañenu chami chinatiyañeni hakachi kanami nanenu,Biblical statement,Class 1 (mu-),,Subject agreement wu-
And every living creature of every kind,ninayileñaleña yayumi yejima yanyichidi yejima,Biblical specification,Class 1 (mu-),,Subject agreement wu-
And never again will the waters become a flood to destroy all flesh,nawa menji hiyamba kekalahu cheñi dibaji kulonda dakajilumuni yuma yejima yayumiku,Biblical statement,Class 1 (mu-),,Subject agreement wu-
And the rainbow will occur in the cloud,Kansuluñunda kakamwekanaña mwivu,Biblical statement,Class 1 (mu-),,Subject agreement wu-
And I will certainly see it and remember the everlasting covenant,nawa ami nakakimona nakwanuka chitiyañenu chahaya nyaaka,Biblical statement,Class 1 (mu-),,Subject agreement wu-
Between God and every living creature of every kind on the earth,chinatiyañeni nayileñaleña yayumi yejima yanyichidi yejima yidi hamaseki,Biblical specification,Class 1 (mu-),,Subject agreement wu-
God repeated to Noah,Nzambi wafuntishilihu cheñi nakumuleja Nowa nindi,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
This is the sign of the covenant that I establish between me and all flesh that is on the earth,Ichi dichinjikijilu chachitiyañenu chinnakutiyañana hakachi kanami nayuma yayumi yejima yidi hamaseki,Biblical statement,Class 1 (mu-),,Subject agreement wu-
Noah sons who came out of the ark were Shem Ham and Japheth,Anyana kaNowa awamayala edikili muwatu adiña Shemi Hami niYafweta,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
Ham later became the father of Canaan,Mukuhita kwampinji Hami wavweli Kenani,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
These three were Noah sons,Awa asatu diwu adiña anyana kaNowa awamayala,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
And all the earth population came from them and spread abroad,nawa kudi wena dikwafumini antu ejima ahamaseki owu ataandili kwejima,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
Now Noah started off as a farmer,Dichi Nowa wekalili ndimi,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
And he planted a vineyard,nawa wadimini itempa danyivinyu,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
When he drank of the wine,Chanwiniyi vinyu,Biblical temporal,Class 1 (mu-),,Subject agreement wu-
He became intoxicated,washeteli,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
And he uncovered himself inside his tent,nawa wakaamini nzekesi mwitenti dindi,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
Ham the father of Canaan saw his father nakedness,Hami tata yaKenani wamweni nzekesi yatata yindi,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
And he told his two brothers outside,nawa wayili hanji nakuleja amanakwindi ayedi,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
So Shem and Japheth took a garment,Kuhiñahu Shemi niYafweta anoneli chakuvwala,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
And put it upon both their shoulders,nakuchisha hamafwiji awu,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
And walked in backward,nakwiñila mafuntanyima,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
Thus they covered their father nakedness,Dichi abutili hanzekesi yatata yawu,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
While their faces were turned away,iku anatalishi chamesu kwacheñi,Biblical temporal,Class 1 (mu-),,Subject agreement wu-
And they did not see their father nakedness,nawa hiyamweni nzekesi yatata yawuku,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
When Noah woke up from his wine,Chelili Nowa ashetuluki vinyu,Biblical temporal,Class 1 (mu-),,Subject agreement wu-
And learned what his youngest son had done to him,nawa eluki chuma chamukoñeliwu kudi mwanindi weyala wakansi,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
He said,wahosheli nindi,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
Cursed be Canaan,Kenani ashiñewi,Biblical curse,Class 1 (mu-),,Subject agreement wu-
Let him become the lowest slave to his brothers,Ekali nduñu wakuminamu kudi amanakwindi,Biblical curse,Class 1 (mu-),,Subject agreement wu-
And he added,Nawa wabombelelihu nindi,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
Praised be Jehovah the God of Shem,Yehova ashimekewi Nzambi yaShemi,Biblical blessing,Class 1 (mu-),,Subject agreement wu-
And let Canaan become a slave to him,Nawa Kenani ekali nduñu yaShemi,Biblical blessing,Class 1 (mu-),,Subject agreement wu-
Let God grant ample space to Japheth,Nzambi amwinki Yafweta mpata yeneni,Biblical blessing,Class 1 (mu-),,Subject agreement wu-
And let him reside in the tents of Shem,Nawa ashakameña mumatenti aShemi,Biblical blessing,Class 1 (mu-),,Subject agreement wu-
Let Canaan become a slave to him also,Kenani ekali cheñi nduñu yaYafweta,Biblical blessing,Class 1 (mu-),,Subject agreement wu-
Noah continued to live for 350 years after the Flood,Hanyima yaDibaji Nowa watwalekelihu kushakama yaaka 350,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
So all the days of Noah amounted to 950 years,Dichi mafuku ejima ashakaminiyi Nowa ashikili muyaaka 950,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
And he died,afwa nikufwa,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
blessed,wamukiswilili,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
sons,nianyanindi awamayala,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
become,kulonda,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
many,muvuli,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
fill,mwinzeshi,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
fear,woma,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
terror,nikuyichiina,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
continue,yakayitiyaña,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
upon,yahamaseki,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
living,yejima,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
creature,yileñaleña,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
flying,yatuukaña,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
heavens,mumawulu,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
moves,yendaña,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
ground,heseki,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
fish,niinshi,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
sea,jamukaluñalwiji,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
given,anayinkiyu,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
hand,mumakasa,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
moving,endaña,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
alive,akweti wumi,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
food,yakuda,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
gave,chinayinkeli,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
green,yamenaña,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
vegetation,yuma,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
give,niwena nayihani,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
life,nawumi wayu,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
blood,mashi ayu,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
eat,muyidaku,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
besides,Kubombela,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
demand,nakayikeñela,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
accounting,kuchuma,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
lifeblood,mashi awumi,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
each,chakayipwekesha,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
man,wamuntu,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
brother,manakwindi,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
shedding,wukupwekesha,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
shed,akayipwekesha,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
image,muchifwanisha,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
increase,muvuli,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
abundantly,chikupu,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
establishing,inakutiyañana,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
after,akuvwalikaña,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
birds,atuda,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
animals,anyama,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
came,yedikili,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
out,muwatu,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
destroyed,kajilumuka,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
waters,namenji,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
flood,adibajiku,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
bring,kajilumuna,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
ruin,isekiku,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
added,wabombelelihu,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
making,chinnakutiyañana,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
future,akumbidi,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
put,Nashi,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
rainbow,kansuluñunda,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
cloud,mwivu,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
whenever,Mpinji,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
bring,yinakaletaña,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
over,hewulu,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
appear,kakamwekanaña,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
remember,nakanukaña,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
made,chinatiyañeni,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
kind,yanyichidi,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
become,kekalahu,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
occur,kakamwekanaña,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
see,nakakimona,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
everlasting,chahaya nyaaka,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
repeated,wafuntishilihu,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
Shem,Shemi,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
Ham,Hami,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
Japheth,Yafweta,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
later,Mukuhita,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
Canaan,Kenani,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
three,asatu,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
population,antu ejima,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
spread,ataandili,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
abroad,kwejima,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
started,wekalili,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
farmer,ndimi,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
planted,wadimini,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
vineyard,itempa,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
drank,Chanwiniyi,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
wine,vinyu,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
intoxicated,washeteli,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
uncovered,wakaamini,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
himself,nzekesi,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
inside,mwitenti,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
tent,dindi,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
saw,wamweni,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
nakedness,nzekesi,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
told,wayili,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
two,ayedi,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
brothers,amanakwindi,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
outside,hanji,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
garment,chakuvwala,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
put,nakuchisha,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
both,hamafwiji,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
shoulders,awu,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
walked,nakwiñila,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
backward,mafuntanyima,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
covered,abutili,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
faces,chamesu,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
turned,anatalishi,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
away,kwacheñi,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
woke,ashetuluki,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
learned,eluki,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
youngest,mwanindi,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
done,chamukoñeliwu,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
said,wahosheli,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
cursed,ashiñewi,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
lowest,wakuminamu,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
slave,nduñu,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
praised,ashimekewi,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
grant,amwinki,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
ample,yeneni,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
space,mpata,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
reside,ashakameña,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
tents,mumatenti,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
350,350,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
after,Hanyima,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
Flood,yaDibaji,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
amounted,ashikili,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
950,950,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
died,afwa nikufwa,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
This is the history of Noah sons,Iyi diyi nsañu yahosha hachihandilu chawanyana kaNowa awamayala,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
Shem Ham and Japheth,Shemi Hami niYafweta,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
Sons were born to them after the Flood,Hanyima yaDibaji avweli anyana awamayala,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
The sons of Japheth were Gomer,Anyana kaYafweta awamayala adiña Goma,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
Magog Madai Javan Tubal,Magogi Madayi Yavani Tubali,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
Meshech and Tiras,Misheki niTirasi,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
The sons of Gomer were Ashkenaz,Anyana kaGoma awamayala adiña Ashikenazi,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
Riphath and Togarmah,Rifati niTogama,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
The sons of Javan were Elishah,Anyana kaYavani awamayala adiña Elayisha,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
Tarshish Kittim and Dodanim,Tashishi Kitimi niDodanimi,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
From these the inhabitants of the islands spread into their lands,Mudi awa dimwafumini antu ayili nakushakama hayituutu yamumaluña awu,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
According to their languages and their families and by their nations,kwesekeja namadimi awu yisaka yawu ninyuza yawu,Biblical specification,Class 1 (mu-),,Subject agreement wu-
The sons of Ham were Cush,Anyana kaHami awamayala adiña Kushi,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
Mizraim Put and Canaan,Mizirayimi Pati niKenani,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
The sons of Cush were Seba,Anyana kaKushi awamayala adiña Seba,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
Havilah Sabtah Raamah and Sabteca,Havila Sabita Rayama niSabiteka,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
The sons of Raamah were Sheba and Dedan,Anyana kaRayama awamayala adiña Sheba niDedani,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
Cush became father to Nimrod,Kushi wavweli Nimurodi,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
He was the first to become a mighty one on the earth,Nimurodi diyi wadiña watachi kwikala mukañovu nankashi hamaseki,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
He became a mighty hunter in opposition to Jehovah,Wekalili chibinda wañovu nankashi mukudikaña naYehova,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
That is why there is a saying,Dichaletesha kwiikali nhoshelu yakwila nawu,Biblical explanation,Class 1 (mu-),,Subject agreement wu-
Just like Nimrod a mighty hunter in opposition to Jehovah,Neyi Nimurodi chibinda wañovu nankashi wadikañili naYehova,Biblical saying,Class 1 (mu-),,Subject agreement wu-
The beginning of his kingdom was Babel,Wanta windi watachikili naBabeli,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
Erech Accad and Calneh,Ereki Akadi niKaline,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
In the land of Shinar,nyisumba yadiña mwituña daShinari,Biblical location,Class 1 (mu-),,Subject agreement wu-
From that land he went into Assyria,Kufuma kunidi ituña wayili kuAsiriya,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
And built Nineveh,nawa watuñili Niniva,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
Rehoboth-Ir Calah,Rehobotiliri Kala,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
And Resen between Nineveh and Calah,niReseni hakachi kaNiniva niKala,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
This is the great city,Iwu diwu musumba weneni,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
Mizraim became father to Ludim,Mizirayimi wavweli Ludimi,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
Anamim Lehabim Naphtuhim,Anamimi Lehabimi Nafutuhimi,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
Pathrusim Casluhim from whom the Philistines came,Patirusimi Kasaluhimi mwafumini aFilisitinu,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
And Caphtorim,niKafitori,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
Canaan became father to Sidon,Kenani wavweli Sidoni,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
His firstborn and Heth,wedi windi niHeti,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
As well as the Jebusite,kushilahu aYebusi,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
The Amorite the Girgashite,aAmori aGirigashi,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
The Hivite the Arkite the Sinite,aHivi aAraki aSini,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
The Arvadite the Zemarite and the Hamathite,aArivadi aZemari niaHamati,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
Afterward the families of the Canaanites were scattered,Chimwahitili mpinji yisaka yawaKenani yapalañenenimu,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
So the boundary of the Canaanites was from Sidon,Dichi ñinza yawaKenani yatachikilili kuSidoni,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
As far as Gerar near Gaza,kushika nikuGerari kwakwihi naGaza,Biblical location,Class 1 (mu-),,Subject agreement wu-
As far as Sodom Gomorrah,kushika nikuSodoma kuGomora,Biblical location,Class 1 (mu-),,Subject agreement wu-
Admah and Zeboim near Lasha,kuAdima nikuZeboyimi kwakwihi naLasha,Biblical location,Class 1 (mu-),,Subject agreement wu-
These were the sons of Ham according to their families,Awa diwu adiña anyana kaHami awamayala kwesekeja nayisaka yawu,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
And their languages by their lands and their nations,madimi awu maluña awu ninyuza yawu,Biblical specification,Class 1 (mu-),,Subject agreement wu-
Children were also born to Shem,Shemi niyena wavweli anyana,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
The forefather of all the sons of Eber,nkakulula yawanyana kaEberi ejima awamayala,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
And the brother of Japheth the oldest,mana kwaYafweta wamukulumpi,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
The sons of Shem were Elam,Anyana kaShemi awamayala adiña Elami,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
Asshur Arpachshad Lud and Aram,Ashishuri Arapakishadi Ludi niArami,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
The sons of Aram were Uz,Anyana kaErami awamayala adiña Uzi,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
Hul Gether and Mash,Huli Geteri niMashi,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
Arpachshad became father to Shelah,Arapakishadi wavweli Shela,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
And Shelah became father to Eber,nawa Shela wavweli Eberi,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
Two sons were born to Eber,Eberi wavweli anyana ayedi awamayala,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
The name of the one was Peleg,Ijina damwana wumu wadiña Pelegi,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
Because in his lifetime the earth was divided,muloña mumpinji yakuhanda kwindi dimwapalañesheleliwu antu hamaseki,Biblical explanation,Class 1 (mu-),,Subject agreement wu-
The name of his brother was Joktan,Ijina damanakwindi wadiña Yokitani,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
Joktan became father to Almodad,Yokitani wavweli Alimodadi,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
Sheleph Hazarmaveth Jerah,Shelefi Hazamaveti Yera,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
Hadoram Uzal Diklah,Hadorami Uzali Dikila,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
Obal Abimael Sheba,Obali Abimayeli Sheba,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
Ophir Havilah and Jobab,Ofiri Havila niYobabi,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
All of these were the sons of Joktan,awa ejima adiña anyana kaYokitani awamayala,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
Their place of dwelling extended from Mesha,Maluña mwashakamineñawu atachikilili kuMesha,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
As far as Sephar the mountainous region of the East,kushika kuSefari iluña damapidi dakuMusela,Biblical location,Class 1 (mu-),,Subject agreement wu-
These were the sons of Shem according to their families,Awa diwu adiña anyana kaShemi awamayala kwesekeja nayisaka yawu,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
And their languages by their lands and their nations,madimi awu maluña awu ninyuza yawu,Biblical specification,Class 1 (mu-),,Subject agreement wu-
These were the families of the sons of Noah,Iyi diyadiña yisaka yawanyana kaNowa awamayala,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
According to their family lines and by their nations,kwesekeja namavumu ayisaka yawu ninyuza yawu,Biblical specification,Class 1 (mu-),,Subject agreement wu-
From these the nations were spread abroad in the earth after the Flood,Mudi awa dimwafumini nyuza yejima yapalañesheleliwu hamaseki hanyima yaDibaji,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
history,nsañu yahosha hachihandilu,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
sons,chawanyana kaNowa awamayala,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
Shem,Shemi,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
Ham,Hami,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
Japheth,Yafweta,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
after,Hanyima,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
Flood,yaDibaji,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
Gomer,Goma,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
Magog,Magogi,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
Madai,Madayi,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
Javan,Yavani,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
Tubal,Tubali,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
Meshech,Misheki,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
Tiras,Tirasi,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
Ashkenaz,Ashikenazi,Biblical vocabulary,Class 1 (mu-),,Subject agreement wu-
